Lipid,Formula,File,Sample,pD,Summed Abundance,Condition,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84
PE 30:2,C35H66NO8P,DL_H2O_DGlu_1_pos,H2O_DGlu_1,0.2,8.75E+05,0%-DGlu,0,0,0,0,0,0,0.022325222,0.087430404,0.181770331,0.372663204,0.618163565,0.767645805,0.869893562,1,0.951044004,0.854506255,0.83575146,0.598453689,0.46162474,0.248076302,0.039848104,0.030993021,0,0,0,0,0,0,0,0,0,0,0,0.011285602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01370702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_H2O_DGlu_2_pos,H2O_DGlu_2,0.2,9.65E+05,0%-DGlu,0,0,0,0,0,0,0.010878783,0.039580869,0.193430713,0.321707844,0.480590349,0.694972716,0.864323343,1,0.997742033,0.941076468,0.690369192,0.604645761,0.430512659,0.217393725,0.0619308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02755494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013178815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_H2O_DGlu_3_pos,H2O_DGlu_3,0.2,7.50E+05,0%-DGlu,0,0,0,0,0,0,0.05285461,0.092540752,0.153022702,0.399967589,0.478694211,0.672506046,0.962804647,1,0.952778683,0.921699098,0.695605543,0.518183298,0.37278301,0.241161545,0.107290992,0.052812839,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01411669,0,0,0.009426385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_H2O_DGlycerol_1_pos,H2O_DGly_1,0.2,4.09E+06,0%-DGly,0,0,0,0,0,0,0.017823756,0.095127402,0.258066924,0.477327753,0.71251405,0.867543154,0.999195851,1,0.896516917,0.694074294,0.469966809,0.311267791,0.189687514,0.080766243,0.026661509,0.004513188,0,0,0,0,0,0.004622244,0,0,0,0,0,0,0,0,0,0,0.073483392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_H2O_DGlycerol_2_pos,H2O_DGly_2,0.2,2.40E+06,0%-DGly,0,0,0,0,0,0,0.030906905,0.092185606,0.26378457,0.444817439,0.665035753,0.826127967,0.986115599,1,0.86439115,0.687935516,0.466665339,0.313242161,0.154884508,0.113162314,0.022261471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_H2O_DGlycerol_3_pos,H2O_DGly_3,0.2,3.40E+06,0%-DGly,0,0,0,0,0,0,0.011716865,0.094783725,0.242056859,0.473567045,0.713178158,0.877101678,1,0.994191994,0.837007882,0.676055558,0.471366055,0.303688168,0.193050292,0.075526909,0.011871866,0,0,0,0,0,0,0,0.003083638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_75D2O_Glu_1_pos,75D2O_HGlu_1,0.5,1.56E+06,75%-DGlu,0,0,0,0,0,0,0,0.054867109,0,0,0,0,0,0,0,0,0,0.006558806,0,0,0,0,0,0,0,0,0,0.010701437,0.066663615,0.104989785,0.204900509,0.388262551,0.498388988,0.693892343,0.91845292,0.928075903,1,0.896500718,0.80282008,0.632223987,0.452445176,0.287027715,0.166585625,0.083800291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007363969,0,0,0,0.01002617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_75D2O_Glu_2_pos,75D2O_HGlu_2,0.5,3.06E+06,75%-DGlu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350826871,0,0,0,0.034577036,0,0,0,0,0,0,0.025033048,0.059944706,0.140211212,0.493084482,0.365097735,0.501803015,0.603303157,0.865553386,0.959461878,1,0.879157425,0.859778301,0.705547004,0.523950582,0.399262581,0.264595515,0.125198733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_75D2O_Glu_3_pos,75D2O_HGlu_3,0.5,1.75E+06,75%-DGlu,0,0,0,0,0,0,0,0,0,0,0,0,0.053181391,0,0,0,0,0,0,0,0,0.006010694,0,0,0,0,0,0.019203203,0.085862327,0.132123543,0.250375954,0.428410675,0.571714136,0.732581879,0.904855528,0.952984341,1,0.948921779,0.841394267,0.731597492,0.528367029,0.356298981,0.226662219,0.090442947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004989082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_D2O_DGlycerol_1_pos,D2O_DGly_1,0.99,6.92E+06,100%-DGly,0,0,0,0,0,0,0,0,0,0,0,0,0.00645546,0,0,0,0.03942098,0,0,0,0.008627918,0,0,0,0,0,0,0,0,0,0.011710653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025286769,0.117963639,0.466571662,1,0.349979025,0.07909114,0.006534713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_D2O_DGlycerol_2_pos,D2O_DGly_2,0.99,7.18E+06,100%-DGly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002625483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003126522,0.092536222,0.427018576,1,0.362333578,0.069362978,0.001872884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:2,C35H66NO8P,DL_D2O_DGlycerol_3_pos,D2O_DGly_3,0.99,7.10E+06,100%-DGly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020522667,0.113760901,0.468201616,1,0.360978438,0.080343758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_H2O_DGlu_1_pos,H2O_DGlu_1,0.2,8.85E+06,0%-DGlu,0,0,0,0,0,0,0.045548687,0.136236728,0.302025013,0.440981735,0.660090934,0.818921302,0.987966226,1,0.954273192,0.857127051,0.680767763,0.543901259,0.374790718,0.226706543,0.138647337,0.073843858,0.030334898,0.010463937,0,0,0,0,0,0,0,0,0,0,0.001193238,0,0,0,0,0,0.001097384,0,0,0,0.021990336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_H2O_DGlu_2_pos,H2O_DGlu_2,0.2,9.55E+06,0%-DGlu,0,0,0,0,0,0,0.027161908,0.154006389,0.297927747,0.431256947,0.656144779,0.803704811,0.960492167,1,0.997713071,0.896234521,0.706321115,0.563440567,0.400699043,0.253867321,0.164772925,0.088339573,0.031606944,0.013425142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006655293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_H2O_DGlu_3_pos,H2O_DGlu_3,0.2,8.00E+06,0%-DGlu,0,0,0,0,0,0,0.034076073,0.146672716,0.311739484,0.463023234,0.609572279,0.870384996,0.979305625,1,0.97492077,0.830009833,0.706772652,0.548774886,0.392636564,0.247731769,0.144699717,0.09400025,0.02277354,0.004277054,0,0,0,0,0,0,0,0,0,0,0,0.001200194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_H2O_DGlycerol_1_pos,H2O_DGly_1,0.2,5.18E+07,0%-DGly,0,0,0,0,0,0,0.001837471,0.023790777,0.080208147,0.174706257,0.312877285,0.520965842,0.720278743,0.898353246,1,0.992313226,0.874315799,0.698394031,0.509093589,0.332090412,0.198414779,0.108898768,0.045857475,0.014243209,0.003616982,0.001454471,0,0,0,0,0,0,0,0.000201493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_H2O_DGlycerol_2_pos,H2O_DGly_2,0.2,5.02E+07,0%-DGly,0,0,0,0,0,0,0.001299317,0.020755302,0.081271813,0.156765551,0.299565532,0.497913097,0.716601186,0.873917105,0.997708792,1,0.921224569,0.738953984,0.555321763,0.380306249,0.220149242,0.12415305,0.059710088,0.020637509,0.006099082,0.000861234,0,0,0,0,0,0,0,0,0,0,0,0.000142592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_H2O_DGlycerol_3_pos,H2O_DGly_3,0.2,6.27E+07,0%-DGly,0,0,0,0,0,0,0.000672927,0.016129891,0.071527251,0.15298664,0.289863223,0.485202725,0.688274879,0.852943739,1,0.98333494,0.905971356,0.734177082,0.528752438,0.347450075,0.217717932,0.118650568,0.054341774,0.016573486,0.00382451,0.000987314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_75D2O_Glu_1_pos,75D2O_HGlu_1,0.5,1.60E+07,75%-DGlu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003863538,0,0,0,0,0,0,0.002765474,0,0.005310821,0.010030899,0.005441492,0.004995782,0.016704349,0.048805025,0.108651301,0.181812964,0.284724357,0.386947221,0.551664595,0.715474608,0.849810801,0.968078304,1,0.980427266,0.918134117,0.815488979,0.639806302,0.478703666,0.338907888,0.207875297,0.110999756,0.058019534,0.025727377,0.008018653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_75D2O_Glu_2_pos,75D2O_HGlu_2,0.5,2.71E+07,75%-DGlu,0,0,0,0,0,0,0,0,0.001075542,0.002607643,0.004447594,0,0,0.001625896,0.001940873,0.001168685,0,0,0,0.003304445,0.012217365,0.006067345,0.00474514,0.004598433,0.003280906,0.007929689,0.018326863,0.043777254,0.121058034,0.205209563,0.302715748,0.424341737,0.5858008,0.7304762,0.873522927,0.986301617,1,0.969377865,0.871257771,0.741829815,0.607070379,0.447364171,0.308646619,0.172914615,0.092412381,0.047952589,0.020905908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_75D2O_Glu_3_pos,75D2O_HGlu_3,0.5,1.60E+07,75%-DGlu,0,0,0,0,0,0,0,0,0.001132157,0.001640218,0,0,0,0.002379773,0,0,0,0,0,0,0.000887722,0.004971696,0.005350843,0.009714347,0,0.006039882,0.03063201,0.046185852,0.111185733,0.178282423,0.267965416,0.415541933,0.569688982,0.685243986,0.888552841,0.939512305,1,0.989667524,0.932165677,0.774816271,0.618254976,0.455299689,0.324583415,0.205804499,0.112678769,0.060243182,0.030151941,0.006372037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_D2O_DGlycerol_1_pos,D2O_DGly_1,0.99,3.68E+07,100%-DGly,0,0,0,0,0,0,0,0,0.000265524,0,0,0.000127734,0.000829169,0,0,0,0,0.000280247,0.000162318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548047,0,0,0.00019014,0,0,0.000295437,0.00450762,0.019229896,0.007001459,0.000554601,0.000163909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001744354,0.019699729,0.117613871,0.466587215,1,0.340845807,0.074881375,0.000952349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 29:1,C34H66NO8P,DL_D2O_DGlycerol_2_pos,D2O_DGly_2,0.99,4.57E+07,100%-DGly,0,0,0,0,0,0,0,0,0.000394266,0,0,0,0,0,0,0,0,0,0,0,0.000163304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116052,0,0,0,0.000487851,0.005223122,0.020930056,0.007733722,0.001260397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000981016,0.014923619,0.098184699,0.431049744,1,0.340966541,0.073747186,0.000418217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
